nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,32,1,1,3,8
2,2,32,1,1,8,2
3,2,16,1,1,2,8
4,1,32,1,1,2,16
5,1,32,1,1,2,16
6,1,32,1,1,3,2
7,2,32,1,1,2,3
8,1,16,1,1,8,4
9,2,16,1,1,8,1
10,2,32,1,1,16,3
11,1,32,1,1,3,16
12,1,32,1,1,8,2
13,2,32,1,1,8,3
14,2,16,1,1,4,8
15,2,32,1,1,16,2
16,1,16,1,1,1,4
17,1,32,1,1,8,3
18,1,16,1,1,4,8
19,2,32,1,1,3,16
20,1,16,1,1,1,2
21,2,16,1,1,8,4
22,1,32,1,1,8,16
23,1,32,1,1,16,2
24,1,16,1,1,1,2
25,1,32,1,1,8,3
26,1,16,1,1,1,4
27,2,16,1,1,2,4
28,1,16,1,1,1,8
29,2,32,1,1,16,3
30,2,32,1,1,3,2
31,2,16,1,1,1,4
32,2,16,1,1,8,4
33,2,16,1,1,8,2
34,1,32,1,1,8,2
35,2,16,1,1,2,1
36,2,32,1,1,3,8
